,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
157,5740 - light pink (986),New Balance,Light pink,Code W5740CC-986,Suede/Mesh Upper,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176769/original.jpg,women,"UK 4, UK 7, UK 8, UK 3, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
158,720 - brown (225),New Balance,Brown,Code WL720CF1,Suede/Textile Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176928/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, ",,,,,,,,,,,,,,,,,,,,
159,373v2 - grey (030),New Balance,Grey,Code WL373SM2,Mesh/Suede Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176875/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
160,373v2 - black/white (048),New Balance,Black/White,Code WL373SN2,Suede/Mesh Upper/Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176883/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
161,Hedra minimal wn's - shifting sand-fizzy yellow-puma white,PUMA,Shifting sand-Fizzy yellow-Puma white,Code 375119-02,Leather/Synthetic Upper/Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176171/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,,,,,,,,,,,,,,,,,,,
162,Puma skye cv dot - cloud pink-puma white,PUMA,Cloud pink - Puma white,Code 368883-01,Canvas Upper/Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2175806/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
163,Cali star snake wn’s - puma white-puma white,PUMA,Puma white-Puma white,Code 80629-01,Leather Upper/Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176393/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
164,Cruise rider Ocean Queen,PUMA,Eggnog-puma silver-cloud pink,Code 375073-01,Textile/Mesh Upper/Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176135/original.jpg,women,"UK 4, UK 6, UK 7, UK 8, UK 3, UK 5, ",,,,,,,,,,,,,,,,,,,,
165,Nylite gum - black,Tretorn,Black,,Canvas Upper with Rubber sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2176667/original.jpg,women,"UK 3.5, UK 4, UK 6, UK 6.5, UK 7.5, UK 5, ",,,,,,,,,,,,,,,,,,,,
166,2341 alpina jelly - green tortora beige,SUPERGA,Green Tortora Beige,Code S1114WW-AEO,Canvas Upper with Rubber sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2173100/original.jpg,women,"UK 3.5, UK 5, UK 5.5, UK 6.5, UK 7, UK 2.5, UK 4, UK 8, ",,,,,,,,,,,,,,,,,,,,
167,Continental 80 stripes w - ftwr white/silver met./grey three,adidas Originals,ftwr white/silver met./grey three,Code S42626,Leather Upper/Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2174456/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
168,Gel-lyte iii og - birch/camel beige,Asics,Birch/Camel beige,Code 1202A236_206,Suede/Mesh Upper/Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2174308/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
169,Continental 80 stripes w - ftwr white/clear pink/hazy rose,adidas Originals,ftwr white/clear pink/hazy rose,Code S42625,Leather Upper/Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2174426/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
170,Chuck taylor all star summer fest all-over print ox - festival,Converse,Egret/sesame/black,,Recycled poly-canvas upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171875/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
171,Run star hike archive gone wild ox - archive print,Converse,Driftwood/light fawn/black,,Canvas Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171762/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
172,Chuck taylor all star edged archive leopard print hi - archive print,Converse,Black/egret/driftwood,,Canvas Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171813/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
173,Jack purcell low profile canvas ox - black/natural/white,Converse,Black/natural/white,,Canvas Upepr with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171897/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
174,Jack purcell low profile canvas ox - white/natural/white,Converse,White,,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171886/original.jpg,women,"UK 3, UK 4, UK 5, UK 7, UK 8, UK 6, ",,,,,,,,,,,,,,,,,,,,
175,327 - magnetic blue (550),New Balance,Magnetic blue,,Suede Upper,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171657/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
176,Chuck taylor all star garden party all-over print hi - floral print,Converse,Egret/black/white,,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171839/original.jpg,women,"UK 4, UK 6, UK 3, UK 5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
177,Chuck taylor move archive print platform hi - archive print,Converse,Egret/black/egret,,Canvas Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171795/original.jpg,women,"UK 5, UK 8, UK 3, UK 4, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
178,Chuck taylor all star archive print on print hi - archive print,Converse,Egret/piquant green/driftwood,,Canvas Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171862/original.jpg,women,"UK 4, UK 6, UK 7, UK 3, UK 5, UK 8, ",,,,,,,,,,,,,,,,,,,,
179,Chuck 70 off the grid hi - citron pulse/pink quartz/egret,Converse,Citron pulse/pink quartz/egret,,Canvas Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171849/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
180,Wmn's 991 made in uk '20th anniversary',New Balance,Grey/enamel blue,,Suede Upper/Rubber Sole,R2729,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171403/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
181,Chuck taylor all star metallic summer fest ox - festival,Converse,Egret/pink foam/storm wind,,,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171826/original.jpg,women,"UK 7, UK 3, UK 4, UK 5, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
182,Chuck 70 summer fest ripstop ox - festival,Converse,Sesame/gravel/egret,,Textile Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2171753/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
183,Run star hike platform color splash ox - seasonal color,Converse,citron pulse/white/black - seasonal color,Code 170778C,Canvas Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169719/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
184,Bella - puma black - puma white,PUMA,Puma black-puma white,Code 374898 01,Mesh Upper with Faux suede overlays & Rubber sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169578/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
185,Ua authentic 44 dx - (anaheim factory) og emerald/scene bg,Vans,og emerald/scene bg,Code VN0A54F241I1,Canvas Upper/Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2170589/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
186,Ua old skool tapered - (pastel checkerboard) ballad blue/sin-linever peony,Vans,ballad blue/sin-linever peony,Code VN0A54F44TZ,Canvas Upper/Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2170580/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, ",,,,,,,,,,,,,,,,,,,,
187,Run star hike three color hi - statement flow,Converse,pink quartz/pink foam/white - statement flow,Code 170968C,Canvas Upper/Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2170518/original.jpg,women,"UK 3, UK 6, UK 7, UK 4, UK 5, UK 8, ",,,,,,,,,,,,,,,,,,,,
188,Run star hike platform all white hi - seasonal color,Converse,white/white/white - seasonal color,,Canvas Upper/Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169671/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",,,,,,,,,,,,,,,,,,,,
189,Cali star mix wn’s - puma white-peach cobbler,PUMA,Puma white-peach cobbler,Code 380220 01,Faux Leather Upper with Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169490/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
190,Carina lift - puma white - pink,PUMA,Black,Code 373031 10,Leather Upper with Rubber sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169745/original.jpg,women,"UK 3, UK 6, UK 7, UK 8, UK 4, UK 5, ",,,,,,,,,,,,,,,,,,,,
191,Cali star mix wn’s - puma white-  puma black,PUMA,Black,Code 380220 04,Faux Leather Upper with Faux suede overlays and Rubber sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169613/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
192,Ua old skool - (sidewall print) parasain-lineing/vans turtle,Vans,Parasain-Lineing & Vans Turtle,Code VN0A3WKT4RT1,Canvas Upper with Rubber sole,R674,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169071/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
193,Ua sk8-hi - (disruptive) black/spectrum blue,Vans,Black/spectrum blue,Code VN0A32QG4U9,Suede Upper/Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2170556/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
194,Ua sk8-low - (disruptive) black,Vans,Black,Code VN0A4UUK4WB1,Canvas Upper with Suede overlays & Rubber Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2169065/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
195,S-astico mid cut w  sneakers - jazzy,Diesel,Jazzy,Code y02369-pr695-t5279,PU Upper,R2239,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2066171/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
196,S-herby lc sneakers - black,Diesel,Black,Code y02341-p3822-t8013,Leather Upper with Rubber Sole,R3999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2066033/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
197,S-mydori mc w sneakers - black / gold,Diesel,Black /Gold,Code y02542-p3862-h2582,,R3359,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2068416/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",Cow Leather Upper,,,,,,,,,,,,,,,,,,,
198,Disruptor ii corduroy - lilac,FILA,Lilac,,Textile Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2164039/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
199,Disruptor ii corduroy - mint,FILA,Mint,,Textile Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2164032/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, ",,,,,,,,,,,,,,,,,,,,
200,Ua classic slip-on - (sidewall print) blushing bride/strawberry,Vans,Pink,Code VN0A33TB44L1,Canvas Upper with Rubber Sole,R561,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2163972/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 4, UK 8, ",,,,,,,,,,,,,,,,,,,,
201,Authentic 44 dx - (anaheim factory) sidewall print,Vans,OG blue/scene as,Code VN0A54F241D1,Canvas Upper with Waffle Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2162909/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 10, UK 9, ",,,,,,,,,,,,,,,,,,,,
202,Japan s - white/camel beige,Asics,white/camel beige,Code 1202A118-100,Synthetic Upper with Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149521/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
203,Air Vapormax evo - white/midnight navy/hyper blue/tech grey,Nike,White/Midnight Navy/Hyper Blue/Tech Grey,Code DC9113-100,Mesh/Textile Upper/Rubber Sole,R3999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159331/original.jpg,women,"UK 4, UK 5, UK 6, UK 3, UK 7, ",,,,,,,,,,,,,,,,,,,,
204,L pacific - white & dusty pink,SOVIET,White & Pink,,Faux Leather Upper with Rubber Sole,R300,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159298/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
205,L viper fash - burgundy,SOVIET,Burgundy,,Canvas Upper with Rubber Sole,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159241/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
206,L viper pu fash - light yellow,SOVIET,Light Yellow,,,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238753/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",PU Upper with Rubber Sole,,,,,,,,,,,,,,,,,,,
207,Ua era - (sidewall print) saffron/meals,Vans,saffron/meals,Code VN0A54F14G11,Canvas Upper with Waffle Sole,R599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159480/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
208,Ua old skool - (uv glitter) pink/true white,Vans,pink/true white,Code VN0A3WKT3UA,Canvas Upper with Waffle Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159425/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
209,L coleen - dusty pink,SOVIET,Dusty Pink,,Faux Leather Upper with Rubber Sole,R279,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159266/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
210,L pacific - black,SOVIET,Black,,Faux Leather Upper with Rubber Sole,R300,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2159284/original.jpg,women,"UK 4, UK 5, UK 6, UK 8, UK 3, UK 7, ",,,,,,,,,,,,,,,,,,,,
211,Stan smith w - cream white/cream white/clear mint,adidas Originals,white,,,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2157951/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,CHINA,,,,,,,,,,,,,,,,,,
212,Puma shuffle - Puma white-Puma white-cloud pink-puma team gold,PUMA,Black,Code 309668 09,Synthetic Leather Upper,R674,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2158055/original.jpg,women,"UK 3, UK 7, UK 8, UK 4, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
213,Disruptor ii embroidery - khaki,FILA,Khaki,Code 105-10182-FIL-KHK,Faux Leather Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2158112/original.jpg,women,"UK 4, UK 3, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
214,Continental 80 w - clear pink/halo blue/ftwr white,adidas Originals,Clear pink/halo blue/ftwr white,Code FX5421,Leather Upper/Rubber Sole,R1124,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2157837/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
215,Chuck Taylor All Star - festival,Converse,Egret/Spring Green/Black,Code 570765C,Canvas Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2155079/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
216,Authentic 44 dx - (anaheim factory) sidewall print,Vans,OG white/scene at,,Canvas Upper with Waffle Sole,R999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2153874/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,,,,
217,Authentic 44 dx - (anaheim factory) sidewall print,Vans,OG yellow/scene aw,,Canvas Upper with Waffle Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2153887/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,,,,
218,Lyte classic - white/pink salt,Asics,white/pink salt,Code 1202A112-101,Mesh & Suede Upper with Rubber Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149510/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
219,Run Star Hike Summer Fest  hi - festival,Converse,Egret/White/Black,Code 170776C,Ripstop Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2155044/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
220,Chuck 70 embroidered garden party,Converse,Chambray Blue/Egret/Black,Code 570917C,Canvas Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2155129/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
221,Lyte classic - lichen rock/cream,Asics,lichen rock/cream,Code 1202A074-300,Mesh & Suede Upper with Rubber Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149489/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
222,Wild rider layers - puma white & viridian green,PUMA,Puma White & Viridian Green,Code 38069703,Nylon Upper with Suede & Leather Overlays with Rubber Sole,R1649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2155163/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
223,Chuck 70 embroidered garden party,Converse,Egret/Bright Poppy/Black,Code 570916C,Canvas Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2155101/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
224,Lyte classic - oyster grey/glacier grey,Asics,oyster grey/glacier grey,Code 1202A074-021,Mesh & Suede Upper with Rubber Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149467/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
225,Tarther blast - aqua angel/ivory,Asics,aqua angel/ivory,Code 1202A042-400,TARTHER™ Synthetic Upper with Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149449/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
226,Sk8-Hi - (better together) black/true white,Vans,Black/True White,Code VN0A32QG4U8,Textile Upper with Suede Overlays & Waffle Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2145658/original.jpg,women,"UK 7, UK 8, UK 9, UK 3, UK 4, UK 5, UK 6, UK 10, ",,,,,,,,,,,,,,,,,,,,
227,Old Skool - (better together) moroccan blue/true white,Vans,Moroccan Blue/True White,Code VN0A3WKT4PC,Textile Upper with Suede Overlays & Waffle Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2145649/original.jpg,women,"UK 3, UK 8, UK 9, UK 4, UK 5, UK 6, UK 7, UK 10, ",,,,,,,,,,,,,,,,,,,,
228,Ua classic slip-on - (uv glitter) pink/true white,Vans,Pink/true white,,Glitter textile Upper with Waffle sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2153864/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
229,Stan Smith - pantone,adidas Originals,Pantone/Pantone/Pantone,Code FZ2714,Synthetic Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2161860/original.jpg,women,"UK 3.5, UK 6, UK 7, UK 8, UK 4, UK 5, ",,,,,,,,,,,,,,,,,,,,
230,Puma skye clean - whisper white-peachskin-puma silver,PUMA,whisper white-peachskin-puma silver,Code 380147 05,Faux Leather Upper with Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2152001/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
231,Future rider cnv - eggnog-shifting sand,PUMA,eggnog-shifting sand,Code 380163 01,Textile upper with Nubuck and Faux Leather overlays,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2152014/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
232,Run 60s 2.0 - halo blue/ftwr white/cream white,adidas Originals,Halo Blue/Ftwr White/Cream White,Code FZ0960,Textile Upper with Suede Overlays & Rubber Sole,R824,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2149577/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
233,Ua era - (paradise floral) black/true white,Vans,Paradise Floral Black & True White,Code VN0A54F13VD1,Canvas Upper with Waffle Sole,R674,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2147701/original.jpg,women,"UK 4, UK 5, UK 7, UK 8, UK 3, UK 6, ",,,,,,,,,,,,,,,,,,,,
234,Court legacy - black & white,Nike,Black & White,Code CU4149-001,Leather Upper with Rubber Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2146359/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
235,2750 crochet piping - beige gesso,SUPERGA,Beige gesso,Code s71173w-394,Canvas Upper with Rubber sole,R979,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2146380/original.jpg,women,"UK 2.5, UK 3, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
236,Sl andridge w - ftwr white/grey one/core black,adidas Originals,ftwr white/grey one/core black,Code EG6846,Satin Nylon Upper with Synthetic Overlays & Rubber Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2118663/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
237,Rs 2.0 femme wn's - marshmallow-eggnog-cloud pink,PUMA,Marshmallow-Eggnog-Cloud Pink,Code 374958 02,Mesh Upper with Suede & Synthetic Overlays & Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2146240/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
238,Daybreak - sail/crimson tint-barely green,Nike,Sail/Crimson Tint-Barely Green,Code CK2351-107,Nylon Upper with Suede & Synthetic Leather Overlays & Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2146252/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
239,Supercourt style w - ftwr white/ftwr white/core black,adidas Originals,ftwr white/ftwr white/core black,Code S42822,Leather Upper with Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2119628/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
